Designator,Mid X,Mid Y,Rotation,Layer
CDM4,113.247155,-126.180001,180.0,bottom
CDM5,113.257155,-122.550006,180.0,bottom
CDM6,169.757155,-127.390006,90.0,top
CDM7,171.367157,-127.390006,90.0,top
CDM8,175.499657,-122.530002,0.0,bottom
CDM9,175.497156,-124.320002,0.0,bottom
CEN1,184.641391,-88.197299,0.0,top
CEN2,182.476391,-88.197303,180.0,top
CEN3,106.591235,-88.193696,0.0,top
CEN4,104.426231,-88.193695,180.0,top
CF1,102.855,-126.495001,270.0,top
CF2,186.19,-126.3075,270.0,top
CG1,144.349365,-87.957501,180.0,top
CG2,144.344366,-83.387503,180.0,top
CIR1,144.346866,-101.120006,180.0,bottom
CIR2,144.326866,-102.060006,180.0,bottom
CONN_ENC_L1,183.54389,-89.973301,180.0,top
CONN_ENC_R1,105.521301,-89.981402,180.0,top
CONN_MORRO1,144.377159,-62.871505,180.0,top
CPH1,115.814651,-128.66,180.0,top
CPH2,113.606327,-128.668764,0.0,top
CPH3,108.577157,-128.620001,180.0,top
CPH4,173.049656,-120.760007,180.0,bottom
CPH5,174.637154,-121.392504,90.0,bottom
CPH6,177.907156,-121.4475,270.0,bottom
CR1,131.797154,-103.661504,90.0,bottom
CRBC1,162.882156,-116.682503,270.0,bottom
CRBC2,156.794653,-107.590006,0.0,bottom
CRBC3,159.022154,-112.107501,0.0,bottom
CRBC4,158.959657,-107.590003,0.0,bottom
CSRAM1,144.9,-105.3,90.0,bottom
D1,137.914878,-106.890005,225.0,top
D10,150.874657,-106.890008,315.0,top
D11,139.197156,-123.655004,270.0,bottom
D12,149.547153,-123.700003,270.0,bottom
D13,113.877154,-118.395005,270.0,top
D14,193.790677,-61.158379,270.0,top
D15,95.175638,-61.014664,270.0,top
D16,163.042157,-121.735001,180.0,top
D2,137.884877,-103.732507,225.0,top
D3,137.884874,-100.575008,225.0,top
D4,137.884873,-97.417509,225.0,top
D5,137.884874,-94.260006,225.0,top
D6,150.887156,-94.260005,315.0,top
D7,150.887155,-97.417502,315.0,top
D8,150.887155,-100.575004,315.0,top
D9,150.874653,-103.732505,315.0,top
DC-DC1,160.017158,-115.990005,180.0,top
DEIXAME_QUE_PENSE_1,125.607154,-115.075005,180.0,top
DPH1,100.236453,-121.144427,180.0,top
DPH2,188.645766,-120.502909,0.0,top
ENC_L1,105.83704,-123.461887,180.0,top
ENC_R1,182.924928,-123.455637,0.0,top
IC1,183.54778,-83.182304,270.0,top
IC2,105.516232,-83.133695,270.0,top
IR_RECIVER1,146.256866,-99.920013,180.0,top
J1,147.844367,-85.662501,180.0,top
J2,140.824367,-85.652505,0.0,top
JP1,172.677156,-117.100005,90.0,top
